,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,time sec,VIP,t_test_table$adj.P.Val,FC_table$logFC,group,polarityXmz,"time, min",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072.800049,1.590817659,1.55E-10,-1.401697176,10,p223.087799072266,17.88000081,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072.800049,1.544165527,0.082932446,0.139603924,10,p279.109497070312,17.88000081,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072.800049,1.523889002,0.596299319,-0.832923349,10,p279.125396728516,17.88000081,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155.200073,1.40166974,4.58E-05,-2.923336056,11,p399.275039672852,19.25333455,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186.055359,1.342710303,0.852571647,0.346704079,12,n349.201690673828,19.76758931,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186.394409,1.524584777,2.02E-08,-2.635887607,12,n348.239196777344,19.77324015,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186.399902,1.486220653,1.91E-07,-4.593489136,12,n278.449401855469,19.77333171,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186.399902,1.464330991,1.80E-07,-2.081963692,12,n347.544891357422,19.77333171,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186.399902,1.425817631,3.56E-08,-2.153561976,12,n347.562591552734,19.77333171,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186.399963,1.484394639,1.30E-10,-1.316909978,12,n278.624206542969,19.77333272,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186.399963,1.540447351,1.75E-08,-3.590798857,12,n347.456146240234,19.77333272,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186.400024,1.58790267,2.31E-06,-6.082729768,12,n278.25830078125,19.77333374,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186.400024,1.602088707,5.28E-09,-1.00926533,12,n346.993499755859,19.77333374,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186.400024,1.57676847,0.151553973,-0.004118083,12,n347.153991699219,19.77333374,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186.400024,1.475730063,5.18E-08,-2.211023888,12,n347.758392333984,19.77333374,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186.400024,1.580087554,5.34E-10,-3.690856973,12,n348.132293701172,19.77333374,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186.400024,1.406701984,7.09E-08,-2.546033046,12,n348.274780273438,19.77333374,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186.400024,1.464813762,0.000114055,0.325518755,12,p293.153991699219,19.77333374,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186.400024,1.533017568,0.041507378,1.038872892,12,p293.186706542969,19.77333374,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186.400024,1.404549448,7.08E-08,-1.638121024,12,p294.118896484375,19.77333374,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186.403015,1.440434444,1.64E-08,-4.025966342,12,n347.580383300781,19.77338359,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186.547241,1.587706283,1.59E-10,-3.426520343,12,n346.975677490234,19.77578735,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186.710815,1.558731443,8.54E-08,-0.66189833,12,p225.087997436523,19.77851359,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186.985474,1.546271923,0.243967922,0.499538426,12,p207.077697753906,19.78309123,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1187.183472,1.597155201,7.66E-10,-2.542010724,12,n346.922302246094,19.78639119,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1187.183472,1.540704203,2.81E-10,-2.9417083,12,n346.955993652344,19.78639119,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1187.199951,1.538119079,9.66E-07,-2.542632641,12,p223.301696777344,19.78666585,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1187.199951,1.442112644,2.54E-06,-0.889254611,12,p293.448577880859,19.78666585,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1187.200073,1.613078994,0.000169987,0.206460774,12,p223.059295654297,19.78666789,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1225.600098,1.602249879,3.87E-10,-1.535909083,13,p293.10498046875,20.42666829,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1225.600098,1.55758896,5.01E-08,-2.024655024,13,p293.121246337891,20.42666829,,,,,,,,,,,,,,,,,,,,
