"","name","VIP","t_test_table$adj.P.Val","FC_table$logFC"
"pX507.305435180664...2029.59997558594","pX507.305435180664...2029.59997558594",1.73507292965836,1.22530474433449e-12,-4.65692493194051
"nX353.316192626953...653.114624023438","nX353.316192626953...653.114624023438",1.73345725829003,1.37852392797629e-11,-2.66581690532646
"pX296.168487548828...1043.19995117188","pX296.168487548828...1043.19995117188",1.73223971278678,1.39813993942052e-11,-3.2218895580029
"pX598.459004720052...2107.19995117188","pX598.459004720052...2107.19995117188",1.7314716894735,1.29388791275206e-12,-4.52159201357709
"pX363.5712890625...1043.19995117188","pX363.5712890625...1043.19995117188",1.73067148668624,3.00333089481875e-10,-2.31041684092467
"pX299.231384277344...954.400024414062","pX299.231384277344...954.400024414062",1.73040668240512,1.10990457711749e-12,-1.81411011920489
"pX300.090484619141...953.600036621094","pX300.090484619141...953.600036621094",1.72676973673224,1.22530474433449e-12,-5.59909819740657
"pX299.165405273438...954.400024414062","pX299.165405273438...954.400024414062",1.72559257564056,1.45555762615898e-12,-1.3795659309846
"pX464.318237304688...1043.19995117188","pX464.318237304688...1043.19995117188",1.7237197254137,1.08804278499216e-11,-2.67444776150446
"pX299.346984863281...954.399963378906","pX299.346984863281...954.399963378906",1.72328615648734,1.55041676407788e-12,-3.11221976245452
"pX179.048202514648...953.600036621094","pX179.048202514648...953.600036621094",1.72261259076561,1.29388791275206e-12,-3.75542177102247
"pX299.099395751953...953.600036621094","pX299.099395751953...953.600036621094",1.72260748951989,1.29388791275206e-12,-2.62008961392118
"pX299.148895263672...954.400024414062","pX299.148895263672...954.400024414062",1.72250800763334,1.29388791275206e-12,-1.97368628614693
"pX295.118194580078...1043.19995117188","pX295.118194580078...1043.19995117188",1.72209007671077,1.77889726180146e-11,-3.06713640609296
"pX410.200088500977...609.600036621094","pX410.200088500977...609.600036621094",1.71999536072187,1.85110774140436e-07,-2.16643946864133
"pX463.352142333984...1043.19995117188","pX463.352142333984...1043.19995117188",1.7193034454235,3.81208352194323e-11,-1.38556815689527
"pX329.175735473633...1463.19995117188","pX329.175735473633...1463.19995117188",1.71911896764789,1.06828945651978e-10,-1.82382659000036
"pX299.247894287109...954.400024414062","pX299.247894287109...954.400024414062",1.71851495690843,1.29388791275206e-12,-1.29286177664558
"pX296.152099609375...1043.19995117188","pX296.152099609375...1043.19995117188",1.71839823176801,1.62667610329323e-11,-2.36567375990065
"nX489.296539306641...1485.74133300781","nX489.296539306641...1485.74133300781",1.7179750162694,1.29388791275206e-12,-4.03575861547366
"nX489.254333496094...1485.93505859375","nX489.254333496094...1485.93505859375",1.71791898447791,1.29388791275206e-12,-4.47386702558043
"pX299.4130859375...954.400024414062","pX299.4130859375...954.400024414062",1.71638461055435,1.75318989710225e-12,-3.41757210866119
"nX489.275436401367...1485.89343261719","nX489.275436401367...1485.89343261719",1.71636676126513,1.29388791275206e-12,-5.16737729837386
"nX490.26823425293...1485.96887207031","nX490.26823425293...1485.96887207031",1.71600892672392,1.55041676407788e-12,-4.64209701017176
"pX410.180740356445...609.600036621094","pX410.180740356445...609.600036621094",1.71461730598367,1.97441832529961e-07,-2.10616728093937
"pX361.191284179688...970.399963378906","pX361.191284179688...970.399963378906",1.71454642810467,3.38640108882226e-12,-2.579031481369
"pX299.115905761719...953.600036621094","pX299.115905761719...953.600036621094",1.71270205395934,1.4177985236283e-12,-2.52214464229656
"pX235.091186523438...953.600036621094","pX235.091186523438...953.600036621094",1.71159846605889,1.55041676407788e-12,-6.25557616209283
"pX355.104400634766...954.399981689453","pX355.104400634766...954.399981689453",1.70937257978858,1.55041676407788e-12,-1.74363311348158
"pX293.1376953125...968.799987792969","pX293.1376953125...968.799987792969",1.70878433127068,1.7698358762295e-12,-8.4455539268473
"pX464.338790893555...1043.19995117188","pX464.338790893555...1043.19995117188",1.70815008806392,2.28291662490985e-11,-1.29463896211695
"pX300.123596191406...954.400024414062","pX300.123596191406...954.400024414062",1.70799783586389,1.55041676407788e-12,-1.72059312807359
"pX599.444030761719...2107.19995117188","pX599.444030761719...2107.19995117188",1.70140098498408,3.06955240299845e-12,-2.04223962559765
"nX408.187194824219...607.925842285156","nX408.187194824219...607.925842285156",1.70004510897345,3.40042261581175e-06,-2.38566354577168
"pX273.130584716797...1324.80004882812","pX273.130584716797...1324.80004882812",1.69984238646452,3.21043068682849e-11,-1.0587100277415
"nX353.100891113281...652.800024414062","nX353.100891113281...652.800024414062",1.69972429730204,2.63325300511861e-12,-3.30710015340319
"pX355.428192138672...954.400024414062","pX355.428192138672...954.400024414062",1.69800627312921,2.18977190327994e-12,-2.0692633194041
"pX239.11799621582...1043.19995117188","pX239.11799621582...1043.19995117188",1.69656799977411,4.49565362283426e-11,-1.92022632008728
"pX300.074005126953...954.399963378906","pX300.074005126953...954.399963378906",1.69571794283252,2.17845282205541e-12,-3.05220828205731
"pX299.0498046875...954.400024414062","pX299.0498046875...954.400024414062",1.69536841533537,2.17845282205541e-12,-3.49793544160319
"pX180.045791625977...954.400024414062","pX180.045791625977...954.400024414062",1.69308061874218,2.21615336639722e-12,-2.43189572282929
"pX299.429595947266...953.600036621094","pX299.429595947266...953.600036621094",1.69292259055013,3.66961179590114e-12,-4.07646292358419
"pX223.087799072266...1390.39990234375","pX223.087799072266...1390.39990234375",1.69247242997173,2.17845282205541e-12,-3.87498797422737
"pX355.518188476562...655.200012207031","pX355.518188476562...655.200012207031",1.69084401069261,3.99649612593264e-12,-3.26138320296831
"nX405.222686767578...1051.94860839844","nX405.222686767578...1051.94860839844",1.68795524986032,8.68041518531334e-12,-5.40690512656576
