"","name","VIP","t_test_table$adj.P.Val","FC_table$logFC"
"pX599.444030761719...2107.19995117188","pX599.444030761719...2107.19995117188",1.70140098498408,3.06955240299845e-12,-2.04223962559765
"pX356.130279541016...954.399963378906","pX356.130279541016...954.399963378906",1.67204886840024,3.66961179590114e-12,-1.51410295107259
"pX363.280181884766...1043.19995117188","pX363.280181884766...1043.19995117188",1.78233039548885,5.10250122301385e-12,-4.41341273306617
"pX355.140380859375...954.400024414062","pX355.140380859375...954.400024414062",1.66298518627926,4.82104527466912e-12,-1.77578397482986
"pX355.284301757812...954.400024414062","pX355.284301757812...954.400024414062",1.6450281118797,9.33993089325772e-12,-2.23668760221783
"pX355.338287353516...954.400024414062","pX355.338287353516...954.400024414062",1.63153082688864,1.461922120457e-11,-1.59570765625629
"pX355.518188476562...954.400024414062","pX355.518188476562...954.400024414062",1.64241316307893,1.01117100369366e-11,-2.24601523904342
"pX355.500183105469...954.400024414062","pX355.500183105469...954.400024414062",1.64022575053962,1.09480882205146e-11,-2.12332092509021
"pX329.175735473633...1463.19995117188","pX329.175735473633...1463.19995117188",1.71911896764789,1.06828945651978e-10,-1.82382659000036
"pX355.302291870117...954.400024414062","pX355.302291870117...954.400024414062",1.64520585693467,9.24420394860095e-12,-3.34389587567035
"pX235.091186523438...953.600036621094","pX235.091186523438...953.600036621094",1.71159846605889,1.55041676407788e-12,-6.25557616209283
"pX180.045791625977...954.400024414062","pX180.045791625977...954.400024414062",1.69308061874218,2.21615336639722e-12,-2.43189572282929
"pX300.107086181641...953.600036621094","pX300.107086181641...953.600036621094",1.68145303391146,2.92310005387449e-12,-2.10633234609345
"pX355.12239074707...954.400024414062","pX355.12239074707...954.400024414062",1.66277482196961,4.95413810003981e-12,-2.0628891661206
"pX363.389389038086...1043.19995117188","pX363.389389038086...1043.19995117188",1.76086113335072,8.12774171865755e-12,-2.69641193588875
"pX355.536193847656...954.400024414062","pX355.536193847656...954.400024414062",1.62493394136154,1.77925292292998e-11,-1.94225049539344
"pX299.429595947266...953.600036621094","pX299.429595947266...953.600036621094",1.69292259055013,3.66961179590114e-12,-4.07646292358419
"pX357.139633178711...954.400024414062","pX357.139633178711...954.400024414062",1.64459584698579,9.24108935497333e-12,-2.27650628445036
"pX411.186492919922...609.600036621094","pX411.186492919922...609.600036621094",1.80958304964887,8.92151334944827e-07,-3.05161169705262
"pX365.229248046875...1043.19995117188","pX365.229248046875...1043.19995117188",1.76093855555912,1.93326610156575e-11,-2.37938490395489
"pX462.28450012207...1043.19995117188","pX462.28450012207...1043.19995117188",1.75870853436466,1.03885350351156e-11,-2.51618456696627
"nX489.254333496094...1485.93505859375","nX489.254333496094...1485.93505859375",1.71791898447791,1.29388791275206e-12,-4.47386702558043
"pX363.261993408203...1043.19995117188","pX363.261993408203...1043.19995117188",1.74801539446726,9.12407125481565e-12,-3.17577951997401
"pX355.518188476562...655.200012207031","pX355.518188476562...655.200012207031",1.69084401069261,3.99649612593264e-12,-3.26138320296831
"nX489.275436401367...1485.89343261719","nX489.275436401367...1485.89343261719",1.71636676126513,1.29388791275206e-12,-5.16737729837386
"pX223.130599975586...1294.39990234375","pX223.130599975586...1294.39990234375",1.66646346446405,4.61934766166123e-12,-2.99220454417855
"nX490.26823425293...1485.96887207031","nX490.26823425293...1485.96887207031",1.71600892672392,1.55041676407788e-12,-4.64209701017176
"pX507.284744262695...2029.59997558594","pX507.284744262695...2029.59997558594",1.68324556718805,1.14501981505102e-09,-3.00657650606086
"pX363.243789672852...1043.19995117188","pX363.243789672852...1043.19995117188",1.65483157272427,9.43575303955609e-11,-1.99235614024191
"pX397.294189453125...1324.00012207031","pX397.294189453125...1324.00012207031",1.64621402633972,1.12712896591974e-08,-3.16149167294968
"pX355.698181152344...954.400024414062","pX355.698181152344...954.400024414062",1.62087822725415,2.05183042855142e-11,-1.26647449104042
"pX353.128845214844...953.600036621094","pX353.128845214844...953.600036621094",1.64664053073583,9.24108935497333e-12,-4.60073425529457
"pX180.020202636719...954.399993896484","pX180.020202636719...954.399993896484",1.67770022978923,3.33787000208787e-12,-4.44462440122664
"pX353.146743774414...953.600036621094","pX353.146743774414...953.600036621094",1.64425328893868,9.88145803711703e-12,-5.02389757126767
"pX464.318237304688...1043.19995117188","pX464.318237304688...1043.19995117188",1.7237197254137,1.08804278499216e-11,-2.67444776150446
