"","name","VIP","t_test_table$adj.P.Val","FC_table$logFC"
"nX134.899795532227...2021.59997558594","nX134.899795532227...2021.59997558594",0.816190031896312,0.00298271168408804,0.119206795514862
"nX150.035598754883...1268","nX150.035598754883...1268",1.55317852626306,3.15731301880966e-10,-1.21407699941605
"nX157.085296630859...980.29931640625","nX157.085296630859...980.29931640625",0.557844291841836,0.185224071139399,0.686559680795375
"nX165.055389404297...1186.40002441406","nX165.055389404297...1186.40002441406",1.41650014667895,3.65688362089751e-08,-2.52930219454392
"nX180.982788085938...2938.38623046875","nX180.982788085938...2938.38623046875",0.374999955089394,0.888756920602695,-0.581724785218484
"nX187.095397949219...180.332366943359","nX187.095397949219...180.332366943359",0.790988112710968,0.0693998109883586,0.110061241243052
"nX189.097396850586...952.799987792969","nX189.097396850586...952.799987792969",1.45091235726443,6.50993441023793e-09,-0.505112152354643
"nX192.935791015625...2956.78271484375","nX192.935791015625...2956.78271484375",0.669434989217133,0.0380367888335501,0.212329595619844
"nX193.042297363281...1072.8","nX193.042297363281...1072.8",1.60307621062656,2.2350002203521e-10,-1.89591524383945
"nX193.054000854492...1186.40002441406","nX193.054000854492...1186.40002441406",1.24613082573929,1.69496797543886e-06,-1.43033661204249
"nX193.056091308594...1072.80004882812","nX193.056091308594...1072.80004882812",0.447875033961326,0.205626181737339,0.703337848047293
"nX193.068801879883...1186.80053710938","nX193.068801879883...1186.80053710938",1.63825134747848,1.46425198239392e-11,NA
"nX193.082092285156...873.255615234375","nX193.082092285156...873.255615234375",0.520764662623629,0.192577967312066,-1.37598908395333
"nX193.095993041992...872.379486083984","nX193.095993041992...872.379486083984",0.750766393712845,0.0123222206575031,-0.37279658697671
"nX195.061798095703...553.55810546875","nX195.061798095703...553.55810546875",1.0243527622036,0.000514893837445218,1.46141429207823
"nX195.064102172852...1186.80053710938","nX195.064102172852...1186.80053710938",1.53934587642493,7.7285707768908e-10,-1.63761314962662
"nX195.076690673828...553.472961425781","nX195.076690673828...553.472961425781",0.721183997241767,0.0126235684947259,NA
"nX195.090591430664...553.696685791016","nX195.090591430664...553.696685791016",0.997927380027898,0.000354789750396143,NA
"nX196.070747375488...553.569763183594","nX196.070747375488...553.569763183594",1.04807393198473,0.000142192543339144,NA
"nX197.805587768555...2972.10974121094","nX197.805587768555...2972.10974121094",0.258877935059297,0.756658844950814,-0.2028830179601
